Coordinates,Height
"[55.028957, 82.936649]",128 ì
"[55.028846, 82.93676]",128 ì
"[55.028735000000005, 82.93687100000001]",128 ì
"[55.02862400000001, 82.93698200000001]",128 ì
"[55.02851300000001, 82.93709300000002]",128 ì
"[55.028402000000014, 82.93720400000002]",128 ì
"[55.02829100000002, 82.93731500000003]",127 ì
"[55.02818000000002, 82.93742600000003]",127 ì
"[55.02806900000002, 82.93753700000003]",127 ì
"[55.02795800000003, 82.93764800000004]",127 ì
"[55.02784700000003, 82.93775900000004]",126 ì
"[55.02773600000003, 82.93787000000005]",126 ì
"[55.027625000000036, 82.93798100000005]",126 ì
"[55.02751400000004, 82.93809200000005]",125 ì
"[55.02740300000004, 82.93820300000006]",125 ì
"[55.027292000000045, 82.93831400000006]",125 ì
"[55.02718100000005, 82.93842500000007]",125 ì
"[55.02707000000005, 82.93853600000007]",125 ì
"[55.026959000000055, 82.93864700000007]",125 ì
"[55.02684800000006, 82.93875800000008]",126 ì
"[55.02673700000006, 82.93886900000008]",126 ì
"[55.026626000000064, 82.93898000000009]",126 ì
"[55.02651500000007, 82.93909100000009]",126 ì
"[55.02640400000007, 82.9392020000001]",126 ì
"[55.026293000000074, 82.9393130000001]",127 ì
"[55.02618200000008, 82.9394240000001]",128 ì
"[55.02607100000008, 82.9395350000001]",128 ì
"[55.02596000000008, 82.93964600000011]",128 ì
"[55.025849000000086, 82.93975700000011]",128 ì
